Region Name,City,State,Metro,County Name,Month,Value
West End,Tacoma,WA,Seattle,Pierce,12/01/2010 12:00:00 AM,0.969565217391304
West End,Tacoma,WA,Seattle,Pierce,01/01/2011 12:00:00 AM,0.957722174288179
West End,Tacoma,WA,Seattle,Pierce,02/01/2011 12:00:00 AM,0.957722174288179
West End,Tacoma,WA,Seattle,Pierce,03/01/2011 12:00:00 AM,0.952986022871664
West End,Tacoma,WA,Seattle,Pierce,04/01/2011 12:00:00 AM,0.90625
West End,Tacoma,WA,Seattle,Pierce,05/01/2011 12:00:00 AM,0.918439716312056
West End,Tacoma,WA,Seattle,Pierce,06/01/2011 12:00:00 AM,0.934375
West End,Tacoma,WA,Seattle,Pierce,07/01/2011 12:00:00 AM,0.927966101694915
West End,Tacoma,WA,Seattle,Pierce,08/01/2011 12:00:00 AM,0.875156838143036
West End,Tacoma,WA,Seattle,Pierce,09/01/2011 12:00:00 AM,0.811688311688311
West End,Tacoma,WA,Seattle,Pierce,10/01/2011 12:00:00 AM,0.887038377986965
West End,Tacoma,WA,Seattle,Pierce,11/01/2011 12:00:00 AM,0.810688405797101
West End,Tacoma,WA,Seattle,Pierce,12/01/2011 12:00:00 AM,0.922680412371134
West End,Tacoma,WA,Seattle,Pierce,01/01/2012 12:00:00 AM,0.879194630872483
West End,Tacoma,WA,Seattle,Pierce,02/01/2012 12:00:00 AM,0.941133720930232
West End,Tacoma,WA,Seattle,Pierce,03/01/2012 12:00:00 AM,0.95754716981132
West End,Tacoma,WA,Seattle,Pierce,04/01/2012 12:00:00 AM,0.910041841004184
West End,Tacoma,WA,Seattle,Pierce,05/01/2012 12:00:00 AM,0.924261874197689
West End,Tacoma,WA,Seattle,Pierce,06/01/2012 12:00:00 AM,0.942126514131897
West End,Tacoma,WA,Seattle,Pierce,07/01/2012 12:00:00 AM,0.956354300385109
West End,Tacoma,WA,Seattle,Pierce,08/01/2012 12:00:00 AM,0.97560975609756
West End,Tacoma,WA,Seattle,Pierce,09/01/2012 12:00:00 AM,0.93436645396536
West End,Tacoma,WA,Seattle,Pierce,10/01/2012 12:00:00 AM,0.930612244897959
West End,Tacoma,WA,Seattle,Pierce,11/01/2012 12:00:00 AM,0.902461257976298
West End,Tacoma,WA,Seattle,Pierce,12/01/2012 12:00:00 AM,0.911016949152542
West End,Tacoma,WA,Seattle,Pierce,01/01/2013 12:00:00 AM,0.928738317757009
West End,Tacoma,WA,Seattle,Pierce,02/01/2013 12:00:00 AM,0.965227817745803
West End,Tacoma,WA,Seattle,Pierce,03/01/2013 12:00:00 AM,0.952597994530537
West End,Tacoma,WA,Seattle,Pierce,04/01/2013 12:00:00 AM,0.948040109389243
West End,Tacoma,WA,Seattle,Pierce,05/01/2013 12:00:00 AM,1.01425438596491
West End,Tacoma,WA,Seattle,Pierce,06/01/2013 12:00:00 AM,1.01425438596491
West End,Tacoma,WA,Seattle,Pierce,07/01/2013 12:00:00 AM,1.03115727002967
West End,Tacoma,WA,Seattle,Pierce,08/01/2013 12:00:00 AM,0.965227817745803
West End,Tacoma,WA,Seattle,Pierce,09/01/2013 12:00:00 AM,0.95
West End,Tacoma,WA,Seattle,Pierce,10/01/2013 12:00:00 AM,0.95
West End,Tacoma,WA,Seattle,Pierce,11/01/2013 12:00:00 AM,0.95
West End,Tacoma,WA,Seattle,Pierce,12/01/2013 12:00:00 AM,0.924556213017751
West End,Tacoma,WA,Seattle,Pierce,01/01/2014 12:00:00 AM,0.925925925925925
West End,Tacoma,WA,Seattle,Pierce,02/01/2014 12:00:00 AM,1.09147609147609
West End,Tacoma,WA,Seattle,Pierce,03/01/2014 12:00:00 AM,1.09147609147609
West End,Tacoma,WA,Seattle,Pierce,04/01/2014 12:00:00 AM,1.1605415860735
West End,Tacoma,WA,Seattle,Pierce,05/01/2014 12:00:00 AM,1.11111111111111
West End,Tacoma,WA,Seattle,Pierce,06/01/2014 12:00:00 AM,1.15740740740741
West End,Tacoma,WA,Seattle,Pierce,07/01/2014 12:00:00 AM,1.04888613861386
West End,Tacoma,WA,Seattle,Pierce,08/01/2014 12:00:00 AM,1.24750499001996
West End,Tacoma,WA,Seattle,Pierce,09/01/2014 12:00:00 AM,1.11570247933884
West End,Tacoma,WA,Seattle,Pierce,10/01/2014 12:00:00 AM,1.06907894736842
West End,Tacoma,WA,Seattle,Pierce,11/01/2014 12:00:00 AM,1.10008628127696
University District,Seattle,WA,Seattle,King,02/01/2010 12:00:00 AM,
University District,Seattle,WA,Seattle,King,03/01/2010 12:00:00 AM,
University District,Seattle,WA,Seattle,King,04/01/2010 12:00:00 AM,
University District,Seattle,WA,Seattle,King,05/01/2010 12:00:00 AM,
University District,Seattle,WA,Seattle,King,06/01/2010 12:00:00 AM,
University District,Seattle,WA,Seattle,King,07/01/2010 12:00:00 AM,
University District,Seattle,WA,Seattle,King,08/01/2010 12:00:00 AM,1.77548682703322
University District,Seattle,WA,Seattle,King,09/01/2010 12:00:00 AM,1.77548682703322
University District,Seattle,WA,Seattle,King,10/01/2010 12:00:00 AM,1.82857142857143
University District,Seattle,WA,Seattle,King,11/01/2010 12:00:00 AM,1.82857142857143
University District,Seattle,WA,Seattle,King,12/01/2010 12:00:00 AM,1.4
University District,Seattle,WA,Seattle,King,01/01/2011 12:00:00 AM,1.5185601799775
University District,Seattle,WA,Seattle,King,02/01/2011 12:00:00 AM,1.77586206896552
University District,Seattle,WA,Seattle,King,03/01/2011 12:00:00 AM,1.76092544987147
University District,Seattle,WA,Seattle,King,04/01/2011 12:00:00 AM,1.55
University District,Seattle,WA,Seattle,King,05/01/2011 12:00:00 AM,1.55
University District,Seattle,WA,Seattle,King,06/01/2011 12:00:00 AM,1.50314465408805
University District,Seattle,WA,Seattle,King,07/01/2011 12:00:00 AM,1.47368421052632
University District,Seattle,WA,Seattle,King,08/01/2011 12:00:00 AM,1.47368421052632
University District,Seattle,WA,Seattle,King,09/01/2011 12:00:00 AM,1.58536585365854
University District,Seattle,WA,Seattle,King,10/01/2011 12:00:00 AM,1.68181818181818
University District,Seattle,WA,Seattle,King,11/01/2011 12:00:00 AM,1.78571428571428
University District,Seattle,WA,Seattle,King,12/01/2011 12:00:00 AM,1.6875
University District,Seattle,WA,Seattle,King,01/01/2012 12:00:00 AM,1.87385740402194
University District,Seattle,WA,Seattle,King,02/01/2012 12:00:00 AM,1.87385740402194
University District,Seattle,WA,Seattle,King,03/01/2012 12:00:00 AM,1.83923705722071
University District,Seattle,WA,Seattle,King,04/01/2012 12:00:00 AM,1.79166666666667
University District,Seattle,WA,Seattle,King,05/01/2012 12:00:00 AM,1.68461538461538
University District,Seattle,WA,Seattle,King,06/01/2012 12:00:00 AM,1.6374269005848
University District,Seattle,WA,Seattle,King,07/01/2012 12:00:00 AM,1.75
University District,Seattle,WA,Seattle,King,08/01/2012 12:00:00 AM,1.81363636363636
University District,Seattle,WA,Seattle,King,09/01/2012 12:00:00 AM,1.74418604651163
University District,Seattle,WA,Seattle,King,10/01/2012 12:00:00 AM,2.21947194719472
University District,Seattle,WA,Seattle,King,11/01/2012 12:00:00 AM,2.23011015911873
University District,Seattle,WA,Seattle,King,12/01/2012 12:00:00 AM,2.24264705882353
University District,Seattle,WA,Seattle,King,01/01/2013 12:00:00 AM,2.32888146911519
University District,Seattle,WA,Seattle,King,02/01/2013 12:00:00 AM,2.05882352941176
University District,Seattle,WA,Seattle,King,03/01/2013 12:00:00 AM,2.141065830721
University District,Seattle,WA,Seattle,King,04/01/2013 12:00:00 AM,2.25891677675033
University District,Seattle,WA,Seattle,King,05/01/2013 12:00:00 AM,1.98571428571429
University District,Seattle,WA,Seattle,King,06/01/2013 12:00:00 AM,1.69902912621359
University District,Seattle,WA,Seattle,King,07/01/2013 12:00:00 AM,1.83333333333333
University District,Seattle,WA,Seattle,King,08/01/2013 12:00:00 AM,1.74129353233831
University District,Seattle,WA,Seattle,King,09/01/2013 12:00:00 AM,1.7
University District,Seattle,WA,Seattle,King,10/01/2013 12:00:00 AM,2.03296703296703
University District,Seattle,WA,Seattle,King,11/01/2013 12:00:00 AM,2.2716049382716
University District,Seattle,WA,Seattle,King,12/01/2013 12:00:00 AM,2.31241830065359
University District,Seattle,WA,Seattle,King,01/01/2014 12:00:00 AM,2.14035087719298
University District,Seattle,WA,Seattle,King,02/01/2014 12:00:00 AM,2.13977128335451
University District,Seattle,WA,Seattle,King,03/01/2014 12:00:00 AM,2.16968911917098
University District,Seattle,WA,Seattle,King,04/01/2014 12:00:00 AM,2.31111111111111
University District,Seattle,WA,Seattle,King,05/01/2014 12:00:00 AM,2.31023102310231
University District,Seattle,WA,Seattle,King,06/01/2014 12:00:00 AM,2.06935123042506
University District,Seattle,WA,Seattle,King,07/01/2014 12:00:00 AM,2.05555555555555
University District,Seattle,WA,Seattle,King,08/01/2014 12:00:00 AM,2.25
University District,Seattle,WA,Seattle,King,09/01/2014 12:00:00 AM,2.43578947368421
University District,Seattle,WA,Seattle,King,10/01/2014 12:00:00 AM,2.27497527200791
University District,Seattle,WA,Seattle,King,11/01/2014 12:00:00 AM,2.53174603174603
South Tacoma,Tacoma,WA,Seattle,Pierce,02/01/2010 12:00:00 AM,
South Tacoma,Tacoma,WA,Seattle,Pierce,03/01/2010 12:00:00 AM,
