Date,Region Name,State,Metro,County,City,Size Rank,Zhvi,Mo M,Qo Q,Yo Y,5 Year,10 Year,Peak Month,Peak Quarter,Peak Z H V I,Pct Fall From Peak,Last Time At Curr Z H V I
11/30/2014 12:00:00 AM,Green Lake,WA,Seattle,King,Seattle,1208,579600,0.008701705534285,0.016485443703964,0.066617592933382,0.044865523944626,0.033176298773012,11/01/2014 12:00:00 AM,2014-Q4,579600,0,11/01/2014 12:00:00 AM
11/30/2014 12:00:00 AM,Haller Lake,WA,Seattle,King,Seattle,1223,372300,0.00839653304442,0.018047579983593,0.090509666080844,0.037438413189075,0.026578116647767,09/01/2007 12:00:00 AM,2007-Q3,377000,-0.012466843501326,07/01/2007 12:00:00 AM
11/30/2014 12:00:00 AM,Broadview,WA,Seattle,King,Seattle,1233,520400,0.004827186715582,0.015612802498048,0.057723577235772,0.034699248827408,0.029608868578348,06/01/2007 12:00:00 AM,2007-Q2,521100,-0.001343312224141,05/01/2007 12:00:00 AM
11/30/2014 12:00:00 AM,Bitter Lake,WA,Seattle,King,Seattle,1249,364300,0.003028634361233,0.015611931976582,0.101269649334946,0.04078538132,0.02685172237594,09/01/2007 12:00:00 AM,2007-Q3,373600,-0.024892933618844,02/01/2007 12:00:00 AM
11/30/2014 12:00:00 AM,Westmont,WA,Seattle,Snohomish,Everett,1260,141600,0.005681818181818,-0.001410437235543,-0.00979020979021,-0.04245436079458,-0.00373564560201,06/01/2007 12:00:00 AM,2007-Q2,211100,-0.329227854097584,08/01/2004 12:00:00 AM
11/30/2014 12:00:00 AM,Newport Hills,WA,Seattle,King,Bellevue,1298,527800,0.006675567423231,0.017936354869817,0.052232854864434,0.045115342901896,0.036806176194862,11/01/2014 12:00:00 AM,2014-Q4,527800,0,11/01/2014 12:00:00 AM
11/30/2014 12:00:00 AM,Olympic Hills,WA,Seattle,King,Seattle,1301,366800,0.004931506849315,0.017758046614872,0.050701804640504,0.032825879886666,0.026457772201152,09/01/2007 12:00:00 AM,2007-Q3,382400,-0.040794979079498,04/01/2007 12:00:00 AM
11/30/2014 12:00:00 AM,Port Gardner,WA,Seattle,Snohomish,Everett,1304,237600,0.008917197452229,0.025906735751295,0.099490976399815,-0.001508302493791,0.017376364737221,09/01/2007 12:00:00 AM,2007-Q3,285000,-0.166315789473684,11/01/2005 12:00:00 AM
11/30/2014 12:00:00 AM,South Juanita,WA,Seattle,King,Kirkland,1305,405700,0.00645001240387,0.015773660490736,0.061763936142371,0.045356272125122,0.030608930048167,06/01/2007 12:00:00 AM,2007-Q2,429100,-0.054532742950361,10/01/2006 12:00:00 AM
11/30/2014 12:00:00 AM,Wedgwood,WA,Seattle,King,Seattle,1323,529000,0.008771929824561,0.027184466019418,0.093427035965275,0.039999731855761,0.03363500228619,11/01/2014 12:00:00 AM,2014-Q4,529000,0,11/01/2014 12:00:00 AM
11/30/2014 12:00:00 AM,Loyal Heights,WA,Seattle,King,Seattle,1324,528500,0.009551098376313,0.026014366142497,0.078131374949,0.051627102195581,0.035294274916188,11/01/2014 12:00:00 AM,2014-Q4,528500,0,11/01/2014 12:00:00 AM
11/30/2014 12:00:00 AM,Everett Mall South,WA,Seattle,Snohomish,Everett,1336,264100,0.002277039848197,0.012653374233129,0.085045193097781,0.010872120850351,0.017608406260378,05/01/2007 12:00:00 AM,2007-Q2,314900,-0.161321054302953,01/01/2006 12:00:00 AM
11/30/2014 12:00:00 AM,Minor,WA,Seattle,King,Seattle,1341,454400,0.007538802660754,0.018834080717489,0.052339045854562,0.042402216277298,0.030585579668719,11/01/2014 12:00:00 AM,2014-Q4,454400,0,11/01/2014 12:00:00 AM
11/30/2014 12:00:00 AM,East Ballard,WA,Seattle,King,Seattle,1391,491500,0.009654889071487,0.019075264358283,0.067086409031698,0.048481443463551,0.033156787872853,11/01/2014 12:00:00 AM,2014-Q4,491500,0,11/01/2014 12:00:00 AM
11/30/2014 12:00:00 AM,Ballard,WA,Seattle,King,Seattle,1392,401500,0.00930115635998,0.020849224510552,0.087781089135736,0.036569927241324,0.027400277912773,10/01/2007 12:00:00 AM,2007-Q4,408400,-0.016895200783546,06/01/2007 12:00:00 AM
11/30/2014 12:00:00 AM,Wilburton,WA,Seattle,King,Bellevue,1412,595200,0.009840515778758,0.028156849196752,0.138485080336649,0.061708963111506,0.043664086310726,11/01/2014 12:00:00 AM,2014-Q4,595200,0,11/01/2014 12:00:00 AM
11/30/2014 12:00:00 AM,Columbia City,WA,Seattle,King,Seattle,1413,379900,0.002374670184697,0.002639218791238,0.003433703116746,0.02358714857023,0.027903506571504,09/01/2007 12:00:00 AM,2007-Q3,398300,-0.04619633442129,11/01/2006 12:00:00 AM
11/30/2014 12:00:00 AM,Silver Lake,WA,Seattle,Snohomish,Everett,1426,301900,-0.00066203243959,0.009024064171123,0.053017091035926,0.023726073570965,0.022066923381143,08/01/2007 12:00:00 AM,2007-Q3,349800,-0.136935391652373,12/01/2005 12:00:00 AM
11/30/2014 12:00:00 AM,Alki,WA,Seattle,King,Seattle,1445,574700,0.008422530268468,0.015371024734982,0.048340021889821,0.023653747967338,0.025332717933158,07/01/2007 12:00:00 AM,2007-Q3,605500,-0.050867052023121,09/01/2006 12:00:00 AM
11/30/2014 12:00:00 AM,Brighton,WA,Seattle,King,Seattle,1449,327200,0.006769230769231,0.024100156494523,0.156592435489572,0.024219999434527,0.027482123264013,03/01/2007 12:00:00 AM,2007-Q1,353500,-0.074398868458274,08/01/2006 12:00:00 AM
11/30/2014 12:00:00 AM,Downtown,WA,Seattle,King,Seattle,1465,572200,0.013281388347795,0.02692031586504,0.106341840680588,0.023885468327468,0.042386048326526,11/01/2014 12:00:00 AM,2014-Q4,572200,0,11/01/2014 12:00:00 AM
11/30/2014 12:00:00 AM,Delta,WA,Seattle,Snohomish,Everett,1477,198300,0.004559270516717,0.02374806401652,0.099833610648918,0.000302846815083,0.008891837779679,08/01/2007 12:00:00 AM,2007-Q3,260200,-0.237893927747886,06/01/2005 12:00:00 AM
11/30/2014 12:00:00 AM,East Queen Anne,WA,Seattle,King,Seattle,1499,673400,0.008687837028161,0.022316684378321,0.111221122112211,0.041959822851162,0.037234677120206,11/01/2014 12:00:00 AM,2014-Q4,673400,0,11/01/2014 12:00:00 AM
11/30/2014 12:00:00 AM,North College Park,WA,Seattle,King,Seattle,1513,391000,0.006435006435006,0.017169614984391,0.059333513952858,0.042722430002358,0.02899318060565,11/01/2014 12:00:00 AM,2014-Q4,391000,0,11/01/2014 12:00:00 AM
11/30/2014 12:00:00 AM,High Point,WA,Seattle,King,Seattle,1520,324600,0.005576208178439,0.015326868939631,0.058018252933507,0.022657532339996,0.023308449778038,09/01/2007 12:00:00 AM,2007-Q3,359800,-0.097832128960534,06/01/2006 12:00:00 AM
11/30/2014 12:00:00 AM,Pinehurst,WA,Seattle,Snohomish,Everett,1543,232600,0.004317789291883,0.016164263870686,0.063071297989031,0.006845146059063,0.014557331481721,04/01/2007 12:00:00 AM,2007-Q2,287800,-0.191799861014593,09/01/2005 12:00:00 AM
11/30/2014 12:00:00 AM,Rainier Beach,WA,Seattle,King,Seattle,1546,299100,0.008768971332209,0.023613963039014,0.054282692985548,-0.004551039753914,0.008252902688328,01/01/2007 12:00:00 AM,2007-Q1,378500,-0.209775429326288,05/01/2005 12:00:00 AM
11/30/2014 12:00:00 AM,Highland Park,WA,Seattle,King,Seattle,1593,289700,0.007652173913043,0.02331331684917,0.116808018504241,0.013210636504503,0.021494800665702,07/01/2007 12:00:00 AM,2007-Q3,325800,-0.110804174340086,04/01/2006 12:00:00 AM
11/30/2014 12:00:00 AM,View Ridge-Madison,WA,Seattle,Snohomish,Everett,1611,268900,0.001489757914339,0.009384384384384,0.035026943802925,0.011386674817931,0.01834636941565,08/01/2007 12:00:00 AM,2007-Q3,317800,-0.153870358716174,11/01/2005 12:00:00 AM
11/30/2014 12:00:00 AM,Sunset Hill,WA,Seattle,King,Seattle,1620,614800,0.003591250408097,0.010021356990307,0.08011243851019,0.047580702035995,0.036711789895411,11/01/2014 12:00:00 AM,2014-Q4,614800,0,11/01/2014 12:00:00 AM
11/30/2014 12:00:00 AM,Matthews Beach,WA,Seattle,King,Seattle,1635,559700,0.005027832644999,0.017821422076741,0.088063763608087,0.044179143461642,0.036387948127708,11/01/2014 12:00:00 AM,2014-Q4,559700,0,11/01/2014 12:00:00 AM
11/30/2014 12:00:00 AM,Gatewood,WA,Seattle,King,Seattle,1643,449800,0.005589090096132,0.012379023182534,0.035451197053407,0.03473758533247,0.024210803312864,09/01/2007 12:00:00 AM,2007-Q3,467800,-0.038477982043608,10/01/2006 12:00:00 AM
11/30/2014 12:00:00 AM,North Rose Hill,WA,Seattle,King,Kirkland,1676,466600,0.009083044982699,0.022572868726715,0.077847077847078,0.043789403861384,0.035182130579068,09/01/2007 12:00:00 AM,2007-Q3,483800,-0.035551880942538,03/01/2007 12:00:00 AM
